banner,retailer_sku,item_id,pack_size,count_rule,confidence,mapped_by,mapped_at,retailer_label
kroger,0001111089681,pinto_beans_dry,1.0,,exact,claude-draft,2026-09-17,Kroger® Pinto Beans
kroger,0001111049180,cola_2l_store,67.628,,exact,claude-draft,2026-09-17,Big K® Cola Soda Bottle
kroger,0004900005010,cola_2l_national,67.628,,exact,claude-draft,2026-09-17,Coca-Cola® Soda Bottle
kroger,0001111015687,orange_juice_store,46,,exact,claude-draft,2026-09-17,Kroger® Premium Orange Juice Pulp Free
kroger,0004850020571,orange_juice_national,46.0,,exact,claude-draft,2026-09-17,Tropicana Pure Premium Original No Pulp No Sugar Added 100% Orange Juice
kroger,0001111014953,coffee_ground_store,29.0,,close,claude-draft,2026-09-17,Kroger® Classic Blend Medium Roast Ground Coffee
kroger,0002550030407,coffee_ground_national,25.9,,exact,claude-draft,2026-09-17,"Folgers Classic Roast Ground Coffee, Medium Roast"
kroger,0001111088318,sugar_granulated,4.0,,exact,claude-draft,2026-09-17,Kroger® Pure Cane Granulated Sugar
kroger,0001111089301,butter_store,16.0,,exact,claude-draft,2026-09-17,Kroger® Salted Butter Sticks
kroger,0003450015136,butter_national,16,,exact,claude-draft,2026-09-17,Land O Lakes Salted Butter Sticks
kroger,0005250005005,mayonnaise_dukes,30.0,,exact,claude-draft,2026-09-17,"Duke's® Real Mayonnaise, 30 oz Jar, Smooth & Creamy Mayo"
kroger,0001111001618,peanut_butter_store,16.0,,exact,claude-draft,2026-09-17,Creamy Peanut Butter - Kroger - 16 Oz
kroger,0005150025516,peanut_butter_national,16.0,,exact,claude-draft,2026-09-17,Jif Creamy Peanut Butter
kroger,0001111085605,vegetable_oil_store,48.0,,exact,claude-draft,2026-09-17,Kroger® 100% Pure Vegetable Oil
kroger,0001111016039,soup_chicken_noodle_store,10.5,,exact,claude-draft,2026-09-17,Kroger Condensed Chicken Noodle Soup
kroger,0005100001251,soup_chicken_noodle_national,10.75,,exact,claude-draft,2026-09-17,"Campbell's® Condensed Chicken Noodle Soup, 10.75 oz Can"
kroger,0002840019914,potato_chips_lays,8.0,,exact,claude-draft,2026-09-17,Lay's® Classic Potato Chips
kroger,0001300000605,ketchup_heinz,32.0,,exact,claude-draft,2026-09-17,Heinz Tomato Ketchup
